intent,user_input,bot_response,risk_level,escalation_required,age_group,guideline_reference
stress_reaction,These days Everything feels stressful lately every day,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,These days I cannot stop worrying a lot,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,child,WHO Suicide Prevention Guidance
depression_symptoms,I feel empty inside and it worries me,I am sorry you are going through this. You deserve support and care.,high,yes,teen,WHO Mental Health Gap Action Programme
coping_mechanism,These days How can I sleep better during stress a lot,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,How do I ask for mental health help and it worries me,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,senior,WHO Psychological First Aid
suicide_warning,Lately I cannot continue anymore every day,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,child,WHO Mental Health Gap Action Programme
mental_health_faq,Honestly What is a panic attack every day,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,adult,WHO Mental Health Gap Action Programme
emotional_support,Sometimes I am struggling emotionally,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,adult,WHO Psychological First Aid
stress_reaction,These days I feel tension in my body every day,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Lately I overthink every situation,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,senior,WHO Psychological First Aid
depression_symptoms,Lately I feel tired all the time every day,Thank you for sharing your feelings. Even small acts of self-care can be meaningful during difficult times.,high,yes,adult,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,Recently What can I do when I feel overwhelmed a lot,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Sometimes How do I know if I need professional help every day,"Reaching out for help shows strength, not weakness.",medium,no,teen,WHO Psychological First Aid
suicide_warning,I do not want to live anymore every day,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,senior,WHO Psychological First Aid
mental_health_faq,Recently What causes anxiety a lot,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,These days I am struggling emotionally lately,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,teen,WHO Psychological First Aid
stress_reaction,These days I cannot relax anymore recently,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,adult,WHO Suicide Prevention Guidance
anxiety_symptoms,Honestly I avoid situations because I get anxious and it worries me,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,teen,WHO Suicide Prevention Guidance
depression_symptoms,Nothing makes me happy anymore and it worries me,I am sorry you are going through this. You deserve support and care.,high,yes,teen,WHO Suicide Prevention Guidance
coping_mechanism,Sometimes How do I feel emotionally balanced lately,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,senior,WHO Psychological First Aid
professional_help,These days What happens in therapy a lot,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,child,WHO Psychological First Aid
suicide_warning,Honestly I am thinking about hurting myself lately,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,teen,WHO Suicide Prevention Guidance
mental_health_faq,Recently What is depression and it worries me,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,child,WHO Psychological First Aid
emotional_support,Lately I feel unsupported every day,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,teen,WHO Mental Health Gap Action Programme
stress_reaction,Sometimes I feel tension in my body every day,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,child,WHO Psychological First Aid
anxiety_symptoms,I overthink every situation and it worries me,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,child,WHO Mental Health Gap Action Programme
depression_symptoms,Recently I feel tired all the time and it worries me,I am sorry you are going through this. You deserve support and care.,high,yes,teen,WHO Suicide Prevention Guidance
coping_mechanism,Honestly How can I sleep better during stress recently,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,These days What happens in therapy every day,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,senior,WHO Psychological First Aid
suicide_warning,I feel trapped and hopeless and it worries me,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,teen,WHO Mental Health Gap Action Programme
mental_health_faq,Recently Can therapy help depression recently,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,These days I need someone to talk to a lot,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Honestly Everything feels stressful lately,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,WHO Psychological First Aid
anxiety_symptoms,Recently I feel scared something bad will happen and it worries me,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,Lately I feel tired all the time,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,child,WHO Suicide Prevention Guidance
coping_mechanism,Sometimes How can I improve my mental health lately,Small daily self-care activities can support emotional resilience over time.,low,no,child,WHO Mental Health Gap Action Programme
professional_help,These days Should I see a therapist every day,"Reaching out for help shows strength, not weakness.",medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Recently Nobody would care if I was gone lately,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,teen,WHO Suicide Prevention Guidance
mental_health_faq,Sometimes Can stress affect physical health and it worries me,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,child,WHO Suicide Prevention Guidance
emotional_support,I feel unsupported a lot,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,child,WHO Mental Health Gap Action Programme
stress_reaction,Sometimes I feel pressure all the time lately,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
anxiety_symptoms,Lately I cannot sleep because of anxiety lately,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,child,WHO Suicide Prevention Guidance
depression_symptoms,Honestly I lost interest in everything lately,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,senior,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,Lately Can breathing exercises help anxiety,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,child,WHO Psychological First Aid
professional_help,Recently Should I see a therapist lately,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,teen,WHO Mental Health Gap Action Programme
suicide_warning,Lately I want the pain to stop,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,child,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Recently What is a panic attack and it worries me,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,child,WHO Mental Health Gap Action Programme
emotional_support,Honestly I feel isolated and it worries me,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Lately I am mentally exhausted a lot,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,adult,WHO Suicide Prevention Guidance
anxiety_symptoms,I feel panic before social events lately,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,child,WHO Mental Health Gap Action Programme
depression_symptoms,Recently I do not enjoy activities anymore every day,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,teen,WHO Psychological First Aid
coping_mechanism,Honestly What are healthy coping strategies every day,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,teen,WHO Suicide Prevention Guidance
professional_help,Recently What happens in therapy a lot,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,child,WHO Psychological First Aid
suicide_warning,Honestly I want to disappear,You deserve immediate support right now. Reaching out to a crisis hotline or mental health professional is important.,critical,yes,child,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Recently Is anxiety treatable and it worries me,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Honestly I feel emotionally weak,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,child,WHO Suicide Prevention Guidance
stress_reaction,I am mentally exhausted every day,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,WHO Psychological First Aid
anxiety_symptoms,Recently I cannot stop worrying a lot,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,senior,WHO Mental Health Gap Action Programme
depression_symptoms,These days Nothing makes me happy anymore and it worries me,I am sorry you are going through this. You deserve support and care.,high,yes,child,WHO Psychological First Aid
coping_mechanism,Sometimes How do I feel emotionally balanced and it worries me,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,child,WHO Psychological First Aid
professional_help,Honestly When should someone seek mental health support and it worries me,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,teen,WHO Mental Health Gap Action Programme
suicide_warning,Recently I am thinking about hurting myself a lot,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,teen,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,Sometimes Can stress affect physical health,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,teen,WHO Psychological First Aid
emotional_support,Honestly I feel isolated and it worries me,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,child,WHO Suicide Prevention Guidance
stress_reaction,Lately I feel overwhelmed with work and it worries me,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,senior,WHO Psychological First Aid
anxiety_symptoms,Lately I overthink every situation,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,teen,WHO Suicide Prevention Guidance
depression_symptoms,I feel emotionally numb every day,Thank you for sharing your feelings. Even small acts of self-care can be meaningful during difficult times.,high,yes,adult,WHO Suicide Prevention Guidance
coping_mechanism,How can I sleep better during stress,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,I want to speak to a counselor,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,senior,WHO Psychological First Aid
suicide_warning,Recently I am thinking about hurting myself recently,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,child,WHO Suicide Prevention Guidance
mental_health_faq,Honestly What are warning signs of depression,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,senior,WHO Mental Health Gap Action Programme
emotional_support,Honestly I feel unsupported lately,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,child,WHO Psychological First Aid
stress_reaction,These days I feel tension in my body every day,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,adult,WHO Psychological First Aid
anxiety_symptoms,Sometimes I cannot sleep because of anxiety a lot,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,These days I stay in bed all day lately,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,WHO Psychological First Aid
coping_mechanism,Honestly How do I stop overthinking every day,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,teen,WHO Suicide Prevention Guidance
professional_help,Sometimes I want to speak to a counselor lately,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,These days I want the pain to stop and it worries me,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,child,WHO Psychological First Aid
mental_health_faq,Can children experience anxiety and it worries me,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,I just want support,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,teen,WHO Suicide Prevention Guidance
stress_reaction,Sometimes I feel tension in my body every day lately,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,WHO Suicide Prevention Guidance
anxiety_symptoms,Lately I feel scared something bad will happen and it worries me,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,child,WHO Mental Health Gap Action Programme
depression_symptoms,Lately I feel sad every day a lot,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,senior,WHO Mental Health Gap Action Programme
coping_mechanism,How can I sleep better during stress lately,"Building routines around sleep, hydration, and movement may improve emotional well-being.",low,no,teen,WHO Suicide Prevention Guidance
professional_help,Sometimes What happens in therapy recently,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,senior,WHO Suicide Prevention Guidance
suicide_warning,Sometimes I feel like ending my life every day,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,teen,WHO Psychological First Aid
mental_health_faq,These days Can children experience anxiety and it worries me,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,adult,WHO Suicide Prevention Guidance
emotional_support,Lately I feel lonely every day,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,adult,WHO Psychological First Aid
stress_reaction,Lately I keep worrying about deadlines and it worries me,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,WHO Suicide Prevention Guidance
anxiety_symptoms,I cannot stop worrying lately,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,senior,WHO Psychological First Aid
depression_symptoms,Sometimes I do not enjoy activities anymore,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,WHO Suicide Prevention Guidance
coping_mechanism,Recently How do I stop overthinking lately,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,senior,WHO Mental Health Gap Action Programme
professional_help,Sometimes When should someone seek mental health support lately,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,teen,WHO Suicide Prevention Guidance
suicide_warning,Sometimes Nobody would care if I was gone lately,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,child,WHO Suicide Prevention Guidance
mental_health_faq,These days Can therapy help depression and it worries me,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Sometimes I need comfort recently,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,child,WHO Mental Health Gap Action Programme
stress_reaction,Sometimes I feel burned out and it worries me,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,child,WHO Psychological First Aid
anxiety_symptoms,Lately I cannot sleep because of anxiety lately,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,adult,WHO Psychological First Aid
depression_symptoms,Sometimes I feel sad every day every day,Thank you for sharing your feelings. Even small acts of self-care can be meaningful during difficult times.,high,yes,child,WHO Suicide Prevention Guidance
coping_mechanism,Honestly How can I calm myself down and it worries me,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,child,WHO Mental Health Gap Action Programme
professional_help,Lately Should I see a therapist,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,These days I feel like ending my life,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,teen,WHO Suicide Prevention Guidance
mental_health_faq,Lately Is anxiety treatable recently,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,child,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Recently I feel emotionally weak,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,adult,WHO Suicide Prevention Guidance
stress_reaction,I feel burned out recently,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,teen,WHO Mental Health Gap Action Programme
anxiety_symptoms,Recently I overthink every situation,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,adult,WHO Suicide Prevention Guidance
depression_symptoms,Recently I feel emotionally numb a lot,I am sorry you are going through this. You deserve support and care.,high,yes,adult,WHO Mental Health Gap Action Programme
coping_mechanism,How do I stop overthinking lately,Small daily self-care activities can support emotional resilience over time.,low,no,adult,WHO Suicide Prevention Guidance
professional_help,Lately How do I know if I need professional help a lot,"Reaching out for help shows strength, not weakness.",medium,no,adult,WHO Suicide Prevention Guidance
suicide_warning,These days I feel trapped and hopeless recently,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,adult,WHO Psychological First Aid
mental_health_faq,Honestly What are symptoms of burnout lately,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,teen,WHO Suicide Prevention Guidance
emotional_support,Honestly I need comfort,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,senior,WHO Psychological First Aid
stress_reaction,Lately I cannot relax anymore every day,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,adult,WHO Psychological First Aid
anxiety_symptoms,Recently I overthink every situation,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,teen,WHO Mental Health Gap Action Programme
depression_symptoms,Sometimes I stay in bed all day recently,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,teen,WHO Suicide Prevention Guidance
coping_mechanism,What helps during panic attacks,Small daily self-care activities can support emotional resilience over time.,low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Honestly I think I need emotional support a lot,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,adult,WHO Suicide Prevention Guidance
suicide_warning,Sometimes I want the pain to stop a lot,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,adult,WHO Psychological First Aid
